response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0336,0.0000,0.0000,0.0001,0.0327,0.0007,200,0.0770
0.0101,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1005
0.0745,0.0000,0.0000,0.0001,0.0743,0.0000,200,0.0362
0.0293,0.0000,0.0000,0.0000,0.0289,0.0004,200,0.0817
0.0042,0.0000,0.0000,0.0000,0.0041,0.0001,200,0.1070
0.0082,0.0000,0.0000,0.0001,0.0081,0.0000,200,0.1034
0.0367,0.0000,0.0000,0.0000,0.0365,0.0001,200,0.0756
0.0331,0.0000,0.0000,0.0000,0.0330,0.0000,200,0.0795
0.0178,0.0000,0.0000,0.0002,0.0174,0.0001,200,0.0950
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.1056
0.0141,0.0000,0.0000,0.0033,0.0098,0.0003,200,0.0997
0.0134,0.0000,0.0000,0.0030,0.0102,0.0001,200,0.1005
0.0109,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.1034
0.0040,0.0000,0.0000,0.0004,0.0030,0.0006,200,0.1112
0.0015,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.1137
0.0047,0.0000,0.0000,0.0000,0.0044,0.0002,200,0.1107
0.0086,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.1069
0.0223,0.0000,0.0000,0.0000,0.0222,0.0001,200,0.0940
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.1139
0.0206,0.0000,0.0000,0.0004,0.0198,0.0001,200,0.0960
0.0178,0.0000,0.0000,0.0000,0.0176,0.0001,200,0.0993
0.0110,0.0000,0.0000,0.0000,0.0108,0.0002,200,0.1061
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1106
0.0189,0.0000,0.0000,0.0001,0.0188,0.0000,200,0.0996
0.0149,0.0000,0.0000,0.0000,0.0148,0.0000,200,0.1036
0.0096,0.0000,0.0000,0.0000,0.0095,0.0000,200,0.1094
0.0482,0.0000,0.0000,0.0000,0.0482,0.0000,200,0.0711
0.0297,0.0000,0.0000,0.0000,0.0295,0.0001,200,0.0900
0.0086,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.1116
0.0121,0.0000,0.0000,0.0000,0.0120,0.0000,200,0.1081
0.0043,0.0000,0.0000,0.0001,0.0037,0.0001,200,0.1164
0.0342,0.0000,0.0000,0.0000,0.0341,0.0001,200,0.0868
0.0108,0.0000,0.0000,0.0000,0.0108,0.0000,200,0.1106
0.1044,0.0000,0.0000,0.0012,0.0942,0.0000,200,0.0176
0.0025,0.0000,0.0000,0.0000,0.0023,0.0001,200,0.1197
0.0069,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1156
0.0105,0.0000,0.0000,0.0000,0.0102,0.0003,200,0.1128
0.0057,0.0000,0.0000,0.0000,0.0055,0.0002,200,0.1178
0.0016,0.0000,0.0000,0.0000,0.0014,0.0001,200,0.1225
0.0625,0.0000,0.0000,0.0000,0.0623,0.0001,200,0.0616
