response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0047,0.0000,0.0000,0.0000,0.0047,0.0000,200,0.0629
0.0400,0.0000,0.0000,0.0000,0.0398,0.0000,200,0.0283
0.0046,0.0000,0.0000,0.0000,0.0045,0.0001,200,0.0639
0.0177,0.0000,0.0000,0.0001,0.0174,0.0002,200,0.0516
0.0569,0.0000,0.0000,0.0001,0.0568,0.0000,200,0.0125
0.0213,0.0000,0.0000,0.0001,0.0210,0.0001,200,0.0482
0.0358,0.0000,0.0000,0.0000,0.0355,0.0000,200,0.0345
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0642
0.0053,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0652
0.0146,0.0000,0.0000,0.0000,0.0141,0.0004,200,0.0563
0.0046,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0664
0.0629,0.0004,0.0000,0.0005,0.0620,0.0000,200,0.0089
0.0204,0.0000,0.0000,0.0006,0.0198,0.0000,200,0.0520
0.0705,0.0026,0.0000,0.0047,0.0631,0.0000,200,0.0023
0.0069,0.0000,0.0000,0.0001,0.0067,0.0001,200,0.0664
0.0189,0.0000,0.0000,0.0000,0.0188,0.0001,200,0.0544
0.0444,0.0000,0.0000,0.0000,0.0443,0.0000,200,0.0292
0.0136,0.0000,0.0000,0.0000,0.0135,0.0001,200,0.0604
0.0170,0.0000,0.0000,0.0000,0.0170,0.0000,200,0.0576
0.0135,0.0000,0.0000,0.0001,0.0133,0.0000,200,0.0612
0.0016,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0733
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0676
0.0159,0.0000,0.0000,0.0000,0.0159,0.0000,200,0.0593
0.0484,0.0000,0.0000,0.0000,0.0478,0.0005,200,0.0278
0.0168,0.0000,0.0000,0.0000,0.0167,0.0000,200,0.0595
0.0059,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0703
0.0174,0.0000,0.0000,0.0000,0.0173,0.0000,200,0.0595
0.0208,0.0000,0.0000,0.0000,0.0207,0.0001,200,0.0563
0.0160,0.0000,0.0000,0.0000,0.0159,0.0000,200,0.0616
0.0371,0.0000,0.0000,0.0000,0.0368,0.0002,200,0.0414
0.0282,0.0000,0.0000,0.0001,0.0280,0.0000,200,0.0503
0.0657,0.0000,0.0000,0.0000,0.0656,0.0000,200,0.0134
0.0038,0.0000,0.0000,0.0000,0.0037,0.0000,200,0.0753
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0747
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0718
0.0072,0.0000,0.0000,0.0000,0.0069,0.0002,200,0.0736
0.0081,0.0000,0.0000,0.0001,0.0079,0.0001,200,0.0733
0.0113,0.0000,0.0000,0.0000,0.0112,0.0000,200,0.0705
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0747
0.0023,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0798
0.0514,0.0000,0.0000,0.0000,0.0514,0.0000,200,0.0309
0.0441,0.0000,0.0000,0.0000,0.0435,0.0006,200,0.0386
0.0015,0.0000,0.0000,0.0000,0.0015,0.0000,200,0.0815
0.0040,0.0000,0.0000,0.0000,0.0039,0.0000,200,0.0796
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0776
0.0377,0.0000,0.0000,0.0000,0.0372,0.0004,200,0.0471
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0763
0.0739,0.0000,0.0000,0.0016,0.0721,0.0000,200,0.0119
0.0096,0.0000,0.0000,0.0000,0.0095,0.0000,200,0.0763
0.0096,0.0000,0.0000,0.0000,0.0093,0.0002,200,0.0771
0.0187,0.0000,0.0000,0.0000,0.0186,0.0000,200,0.0683
0.0278,0.0000,0.0000,0.0000,0.0277,0.0000,200,0.0594
0.0154,0.0000,0.0000,0.0000,0.0153,0.0000,200,0.0728
0.0275,0.0000,0.0000,0.0000,0.0274,0.0000,200,0.0611
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0836
0.0211,0.0000,0.0000,0.0000,0.0210,0.0000,200,0.0676
0.0223,0.0000,0.0000,0.0000,0.0221,0.0001,200,0.0672
0.0209,0.0000,0.0000,0.0000,0.0204,0.0000,200,0.0695
0.0020,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0887
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,0.0886
0.0214,0.0000,0.0000,0.0000,0.0213,0.0000,200,0.0694
0.0292,0.0000,0.0000,0.0000,0.0291,0.0000,200,0.0621
0.0136,0.0000,0.0000,0.0000,0.0136,0.0000,200,0.0785
0.0678,0.0000,0.0000,0.0000,0.0678,0.0000,200,0.0258
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.0848
0.0463,0.0000,0.0000,0.0000,0.0462,0.0000,200,0.0514
0.0187,0.0000,0.0000,0.0000,0.0186,0.0000,200,0.0790
0.0274,0.0000,0.0000,0.0001,0.0273,0.0000,200,0.0703
0.0194,0.0000,0.0000,0.0000,0.0191,0.0002,200,0.0785
0.0153,0.0000,0.0000,0.0007,0.0145,0.0000,200,0.0826
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0907
0.0098,0.0000,0.0000,0.0000,0.0091,0.0007,200,0.0886
0.0544,0.0000,0.0000,0.0000,0.0543,0.0000,200,0.0440
0.0246,0.0000,0.0000,0.0000,0.0240,0.0005,200,0.0740
0.0281,0.0000,0.0000,0.0000,0.0279,0.0001,200,0.0710
0.0285,0.0000,0.0000,0.0000,0.0283,0.0000,200,0.0709
0.0179,0.0000,0.0000,0.0000,0.0178,0.0000,200,0.0817
0.0133,0.0000,0.0000,0.0000,0.0129,0.0002,200,0.0870
0.0322,0.0000,0.0000,0.0000,0.0319,0.0002,200,0.0685
0.0422,0.0000,0.0000,0.0000,0.0419,0.0002,200,0.0592
0.0233,0.0000,0.0000,0.0001,0.0227,0.0004,200,0.0791
0.0042,0.0000,0.0000,0.0002,0.0040,0.0000,200,0.0982
0.0355,0.0000,0.0000,0.0000,0.0355,0.0000,200,0.0674
0.0036,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.1003
0.0126,0.0000,0.0000,0.0001,0.0125,0.0000,200,0.0914
0.0045,0.0000,0.0000,0.0000,0.0045,0.0000,200,0.0996
0.0147,0.0000,0.0000,0.0000,0.0144,0.0000,200,0.0895
0.0059,0.0000,0.0000,0.0000,0.0056,0.0003,200,0.0984
0.0304,0.0000,0.0000,0.0000,0.0303,0.0000,200,0.0749
0.0208,0.0000,0.0000,0.0000,0.0207,0.0001,200,0.0847
0.0076,0.0000,0.0000,0.0002,0.0073,0.0000,200,0.0985
0.0013,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.1055
0.0055,0.0000,0.0000,0.0001,0.0053,0.0001,200,0.1014
0.0096,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0979
0.0440,0.0000,0.0000,0.0000,0.0439,0.0000,200,0.0636
0.0223,0.0000,0.0000,0.0000,0.0221,0.0002,200,0.0858
0.0092,0.0000,0.0000,0.0005,0.0085,0.0002,200,0.0991
0.0107,0.0000,0.0000,0.0000,0.0106,0.0000,200,0.0979
0.0239,0.0000,0.0000,0.0001,0.0237,0.0000,200,0.0848
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.1068
0.0059,0.0000,0.0000,0.0002,0.0055,0.0000,200,0.1043
0.0198,0.0000,0.0000,0.0000,0.0197,0.0000,200,0.0904
0.0769,0.0000,0.0000,0.0000,0.0768,0.0001,200,0.0334
0.0347,0.0000,0.0000,0.0001,0.0345,0.0000,200,0.0762
0.0246,0.0000,0.0000,0.0000,0.0240,0.0001,200,0.0867
0.0681,0.0000,0.0000,0.0000,0.0680,0.0001,200,0.0438
0.0568,0.0000,0.0000,0.0000,0.0567,0.0000,200,0.0552
0.0302,0.0000,0.0000,0.0000,0.0295,0.0007,200,0.0824
0.0155,0.0000,0.0000,0.0000,0.0145,0.0007,200,0.0977
0.0383,0.0000,0.0000,0.0000,0.0383,0.0000,200,0.0749
0.0367,0.0000,0.0000,0.0000,0.0366,0.0000,200,0.0769
0.0268,0.0000,0.0000,0.0000,0.0267,0.0001,200,0.0872
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1076
0.0043,0.0000,0.0000,0.0000,0.0042,0.0000,200,0.1103
0.0343,0.0000,0.0000,0.0001,0.0332,0.0008,200,0.0822
0.0229,0.0000,0.0000,0.0000,0.0227,0.0000,200,0.0936
